Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Overview
Number of Accounts Targeted , 3144
Number of New Accounts , 37
Number of Removed Accounts , 714

"Accounts Targeted","New Accounts","Removed Accounts"
"alliedworldwide.com","","crick.ac.uk"
"alliotts.com","","cryptomathic.com"
"almpartners.com","","csiweb.com"
"alpce.co.uk","","ctc-ab.se"
"alpha-solutions.com","","cygate.se"
"als-testing.co.uk","","dai.com"
"alsenvironmental.co.uk","","dai.dk"
"alsglobal.com","","dbi-net.dk"
"altairltd.co.uk","","dcu.ie"
"alten.be","","ddb.se"
"alten.co.uk","","deepoceangroup.com"
"altuarchitects.ie","","dekra.com"
"altus.co.uk","","dektech.com.au"
"alva-group.com","","delegate.dk"
"amaneadvisors.com","","deloitte.dk"
"amaplanning.com","","deloitte.fi"
"amartus.com","","deltacapita.com"
"ambientia.fi","","deltamarin.com"
"ambreyrisk.com","","demoshelsinki.fi"
"amcl.com","","deptagency.com"
"amcogiffen.co.uk","","devote-consulting.com"
"amido.com","","devoteam.com"
"amnesty.dk","","dfind.no"
"amnesty.no","","dictu.nl"
"amnesty.se","","digia.com"
"amrinternational.com","","digitalist.global"
"amt-sybex.com","","digizuite.com"
"anana.com","","dignio.com"
"ancoris.com","","dignity1.com"
"anders.fi","","digpro.se"
"andersonacoustics.co.uk","","diis.dk"
"andersongreen.co.uk","","dips.com"
"andovar.com","","dit.ie"
"anordmardix.com","","dn.dk"
"ans.co.uk","","dominia.dk"
"ansteyhorne.co.uk","","drv.nl"
"anthesisgroup.com","","dubex.dk"
"antser.com","","duffandphelps.com"
"anturteifi.org.uk","","dyrenesbeskyttelse.dk"
"aocarchaeology.com","","earthanalytics.ai"
"aohab.se","","edgeware.tv"
"aon.com","","edlund.dk"
"aop.se","","efeso.com"
"apcplc.com","","efima.com"
"apex.uk.net","","ehealthresearch.no"
"apexsurveys.ie","","eidra.com"
"apicasystems.com","","ekan.com"
"apmg-international.com","","emagine-group.com"
"apollo-oe.com","","embriq.no"
"appelberg.com","","emu.fi"
"appen.com","","encodify.com"
"appfarm.io","","enea.se"
"appleyardandtrew.com","","enfo.fi"
"applicable.com","","ennova.com"
"appliedgeology.co.uk","","epinionglobal.com"
"appliedintegration.co.uk","","episerver.com"
"appsbroker.com","","esmartsystems.com"
"apsu.com","","essiq.se"
"apt.london","","eurofins.no"
"apv.com","","eurofins.se"
"aqp.co.uk","","europeanspallationsource.se"
"aqua.dtu.dk","","eva.dk"
"aquaq.co.uk","","evalueserve.com"
"aquaticsubsea.com","","evaxion-biotech.com"
"aquilaeurope.eu","","evomatic.se"
"ara.co.uk","","eworkgroup.com"
"arbejdsmiljoforskning.dk","","expensereduction.com"
"arc-partnership.co.uk","","exsitec.se"
"arc3-architects.co.uk","","ey.com"
"arcadiaconsulting.com","","ey.dk"
"arcadis.com","","ey.no"
"arch-henderson.co.uk","","fafo.no"
"archer-humphryes.com","","famly.co"
"architecturaltechnology.com","","fcg.fi"
"architype.co.uk","","fdc.dk"
"archus.se","","fellowmind.com"
"arco.co","","fiftytwo.com"
"arcolaenergy.com","","fimpec.fi"
"arcus.uk.com","","firsthouse.no"
"arcusglobal.com","","fjordland.dk"
"arcusys.com","","flex.com"
"ardent-ce.co.uk","","flynth.nl"
"areen.com","","fni.no"
"aresdesign.co.uk","","fns.fi"
"argroup.co.uk","","foi.se"
"arkadin.co.uk","","forcetechnology.com"
"arkkitehtipalvelu.fi","","formpipe.com"
"arkphire.com","","foxway.com"
"arkvision.se","","fraktal.no"
"arkwright.no","","fronter.com"
"armour.co.uk","","frontica.com"
"armourholdings.com","","frontit.se"
"armstrongwatson.co.uk","","frontwalker.se"
"arosltd.com","","frs-fnrs.be"
"arosrevision.dk","","futurice.fi"
"arrowcommunications.co.uk","","fvbenergy.com"
"arrowsgroup.com","","fwo.be"
"artiospharma.com","","gaia.fi"
"arum.co.uk","","gegpower.is"
"as3.dk","","geomatikk-ikt.no"
"asbriplanning.co.uk","","getadigital.com"
"ascensos.com","","gexcon.com"
"ascent.io","","gft.com"
"ascential.com","","global-mediator.com"
"ascom.com","","globaldata.com"
