Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Overview
Number of Accounts Targeted , 3144
Number of New Accounts , 37
Number of Removed Accounts , 714

"Accounts Targeted","New Accounts","Removed Accounts"
"conceptenvironmental.co.uk","","wilke.dk"
"conceptlifesciences.com","","winwin-ekonomi.se"
"concerto.uk.com","","wipro.com"
"condesign.se","","wirtek.com"
"conmore.se","","woodplc.com"
"connectndt.com","","wsp.com"
"conranandpartners.com","","wspgroup.fi"
"consarc-design.co.uk","","wunderdog.fi"
"conscensia.com","","wwf.org.za"
"conscia.com","","www3.stratsys.se"
"consid.se","","xaxis.com"
"consultarc.com","","xn--rdek-qoa.se"
"consultive.se","","yellowfilm.fi"
"contechs.co.uk","","zacco.com"
"contextis.com","","zcg.dk"
"contextworld.com","","zingtongroup.com"
"continental-landscapes.co.uk","","zitac.se"
"contrado.se","",""
"controlrisks.com","",""
"converge.co.uk","",""
"cooperparry.com","",""
"cop.dk","",""
"copenhageneconomics.com","",""
"corderoy.com","",""
"cordisbright.co.uk","",""
"core-asset.co.uk","",""
"core.co.uk","",""
"coreit.se","",""
"coretrek.no","",""
"coreusgroup.com","",""
"cornerstonegrg.co.uk","",""
"cornwall-insight.com","",""
"corporate-value.com","",""
"corstorphine-wright.com","",""
"cortech.co.uk","",""
"corti.ai","",""
"cosine-group.com","",""
"cosmonauts.biz","",""
"cottonsaccountants.co.uk","",""
"cowan-architects.co.uk","",""
"cowgills.co.uk","",""
"cowryconsulting.com","",""
"cp.catapult.org.uk","",""
"cpcprojectservices.com","",""
"cpio.co.uk","",""
"cps.co.uk","",""
"cpwp.com","",""
"craddys.co.uk","",""
"cranfield.ac.uk","",""
"credera.com","",""
"crgp.co.uk","",""
"crimson.co.uk","",""
"criticaleye.com","",""
"crondall-energy.com","",""
"crossley.co.uk","",""
"crowderconsult.com","",""
"crowe.com","",""
"crownconstructionservices.co.uk","",""
"crreynolds.co.uk","",""
"crugroup.com","",""
"crukscotlandinstitute.ac.uk","",""
"cryptomathic.com","",""
"cs2.co.uk","",""
"csaenvironmental.co.uk","",""
"csconsulting.ie","",""
"csgi.com","",""
"csiweb.com","",""
"cstechnology.com","",""
"ct.catapult.org.uk","",""
"ctc-ab.se","",""
"ctg.com","",""
"ctp-llp.com","",""
"cts.co.uk","",""
"cubo.dk","",""
"cullinanstudio.com","",""
"cullum.co.uk","",""
"cura-terrae.com","",""
"curiumsolutions.com","",""
"curtinandco.com","",""
"curveballsolutions.com","",""
"cvdgroup.com","",""
"cw-arkitekter.dk","",""
"cwcon.co.uk","",""
"cwgc.org","",""
"cwp.co.uk","",""
"cyfor.co.uk","",""
"cygate.se","",""
"cyprotex.com","",""
"daggerwinggroup.com","",""
"dai.dk","",""
"dains.com","",""
"dalcourmaclaren.com","",""
"damcosoft.com","",""
"danakon.dk","",""
"danielwatney.co.uk","",""
"dark.no","",""
"darlingassociates.net","",""
"darntonb3.com","",""
"dartmouthpartners.com","",""
"datactics.com","",""
"datel.info","",""
"davidadamsongroup.com","",""
"davidchipperfield.com","",""
"davidcollins.studio","",""
"davidlock.com","",""
"davies-group.com","",""
"daviespartnership.co.uk","",""
"dawsonwam.co.uk","",""
"day-architectural.com","",""
"dbi-net.dk","",""
"dca-design.com","",""
"dcc.ie","",""
"dcthomson.co.uk","",""
"ddaltd.co.uk","",""
"ddb.se","",""
"deallus.com","",""
"deemec.com","",""
"deepoceangroup.com","",""
"degree53.com","",""
"dejlevy.com","",""
"dektech.com.au","",""
"delegate.dk","",""
"delmec.ie","",""
"deloitte.co.uk","",""
"deloitte.dk","",""
"deloitte.fi","",""
"deltamarin.com","",""
"deltasimons.com","",""
"deltatre.com","",""
"demoshelsinki.fi","",""
"dentonassociates.com","",""
"desacons.eu","",""
"desco.uk.com","",""
"desgroup.co.uk","",""
"designcouncil.org.uk","",""
"designengine.co.uk","",""
"designexcel.com","",""
"designfireconsultants.co.uk","",""
"designid.co.uk","",""
"designinternational.com","",""
"designmep.co.uk","",""
"despro.fi","",""
"develop-consulting.co.uk","",""
"devinit.org","",""
"devote-consulting.com","",""
"dextermoren.com","",""
"dfind.no","",""
"dga-group.com","",""
"dge.dk","",""
"dhaplanning.co.uk","",""
"dialecticanet.com","",""
"differentia.net","",""
"digia.com","",""
"digitalbananas.co.uk","",""
"digitalist.global","",""
"digitalskillsacademy.com","",""
"digitalworksgroup.com","",""
"digizuite.com","",""
"dignio.com","",""
"dignity1.com","",""
"digpro.se","",""
"diis.dk","",""
"diplomaplc.com","",""
"dips.com","",""
"dissingweitling.com","",""
"dj-co.dk","",""
"djdeloitte.co.uk","",""
"djhmittenclarke.co.uk","",""
"dk-architects.com","",""
"dkwengineering.co.uk","",""
"dla-architecture.co.uk","",""
"dlgarchitects.com","",""
"dlpconsultants.co.uk","",""
"dlrc.co.uk","",""
"dmarch.co.uk","",""
"dmfk.co.uk","",""
"dmwr-architects.co.uk","",""
"dn.dk","",""
"dneg.com","",""
"dnsassociates.co.uk","",""
"dofengineers.com","",""
"doherty.co.uk","",""
"doigandsmith.co.uk","",""
"domegroup.co.uk","",""
"dontpaniclondon.com","",""
"doran.co.uk","",""
"dornan.ie","",""
"dorsetsoftware.com","",""
"dortemandrup.dk","",""
"doshiaccountants.co.uk","",""
"dougallbaillie.com","",""
"douglaswallace.com","",""
"dp9.co.uk","",""
"dpalighting.com","",""
"dppukltd.com","",""
"drias.dk","",""
"driverconsult.com","",""
"drmm.co.uk","",""
"drrural.co.uk","",""
"dsaengineers.com","",""
"dsagroup.co.uk","",""
"dsdha.co.uk","",""
"dspcm.com","",""
"dssr.co.uk","",""
"dtpgroup.co.uk","",""
"dubex.dk","",""
"dubitlimited.com","",""
"dulas.org.uk","",""
"duncantoplis.co.uk","",""
"dunelm.co.uk","",""
"dunnhumby.com","",""
"dunstanthomas.co.uk","",""
"duntonenvironmental.com","",""
"durhamlane.com","",""
"dwdllp.com","",""
"dws-global.com","",""
"dynamicbusiness.co.uk","",""
"dynamics-consultants.co.uk","",""
"dynata.com","",""
"dyrenesbeskyttelse.dk","",""
"dyrvik.no","",""
"e-m-3.com","",""
"e-tabs.com","",""
"ea-energianalyse.dk","",""
"earlham.ac.uk","",""
"earthanalytics.ai","",""
"east-solutions.co.uk","",""
"ebbon-dacs.co.uk","",""
"ebecs.com","",""
"ebitsllp.com","",""
"eca-international.com","",""
"ecda.co.uk","",""
"ecearchitecture.com","",""
"echo-u.co.uk","",""
"echoarchitecture.com","",""
"eclature.com","",""
"eco-age.com","",""
"ecologia-environmental.com","",""
"ecologyconsultancy.co.uk","",""
"ecometrica.com","",""
"ecosulis.co.uk","",""
"ecusltd.co.uk","",""
"edenmotorgroup.com","",""
"edge-a-d.com","",""
"edgeps.co.uk","",""
"edgetesting.co.uk","",""
"edgeverve.com","",""
"edgeware.tv","",""
"edincare.com","",""
"ediplc.com","",""
"edlund.dk","",""
"effefftee.co.uk","",""
"effekt.dk","",""
"efima.com","",""
"efla-engineers.com","",""
"egis-group.com","",""
"egremontgroup.com","",""
"egretwest.com","",""
"egtechnology.co.uk","",""
"ehealthresearch.no","",""
"eic.co.uk","",""
"eidra.com","",""
"eightassociates.co.uk","",""
"eims.biz","",""
"eitsec.co.uk","",""
"ejal.com","",""
"ekan.com","",""
"ekfdiagnostics.com","",""
"ekologigruppen.se","",""
"elas.uk.com","",""
"elastacloud.com","",""
"elliottwood.co.uk","",""
"ellucprojects.co.uk","",""
"elomatic.com","",""
"elsevier.com","",""
"elvak.fi","",""
"emagine-group.com","",""
"emb-group.co.uk","",""
"embriq.no","",""
"emec.org.uk","",""
"emergn.com","",""
"emmausconsulting.uk","",""
"empowereduk.com","",""
"emr.ac.uk","",""
"emtecnica.com","",""
"emu.fi","",""
"encodify.com","",""
"endava.com","",""
"endersanalysis.com","",""
"endsystems.co.uk","",""
"enea.se","",""
"energistuk.co.uk","",""
"energysavingtrust.org.uk","",""
"energysolutions.com","",""
"enfo.fi","",""
"enghouseinteractive.com","",""
"engineeringcsl.com","",""
"enjoy-digital.co.uk","",""
"enmac.fi","",""
"ennova.com","",""
"ensafe.co.uk","",""
"enscoplc.com","",""
"ensono.com","",""
"ensucon.se","",""
"entechltd.com","",""
"entecsi.com","",""
"enterprisecontrols.co.uk","",""
"envigo.com","",""
"envirocentre.co.uk","",""
"enviroguide.ie","",""
"environmentalessentials.co.uk","",""
"envirosgroup.com","",""
"envisagegroupltd.com","",""
"envisioneco.com","",""
"eocengineers.com","",""
"epigroup.com","",""
"epinionglobal.com","",""
"episerver.com","",""
"epistem.co.uk","",""
"epiuselabs.com","",""
"epmorris.co.uk","",""
"equalexperts.com","",""
"equalsconsulting.com","",""
"equator-architects.ie","",""
"eradigm.com","",""
"ergomedgroup.com","",""
"erlang-solutions.com","",""
"es.catapult.org.uk","",""
"esa.co.uk","",""
"esc.uk.net","",""
"escuk.com","",""
"esko.com","",""
"esmartsystems.com","",""
"esos.co.uk","",""
"espiongroup.com","",""
"esrc.ac.uk","",""
"essential.co.uk","",""
"essiq.se","",""
"esurv.co.uk","",""
"etaprojects.co.uk","",""
"etchassociates.com","",""
"ethoseng.ie","",""
"etiveconsulting.co.uk","",""
"etsplc.com","",""
"ettelva.se","",""
"eu.m3.com","",""
"eu.ntt.com","",""
"eunomia.co.uk","",""
"eurobase.com","",""
"eurofins.dk","",""
"eurofins.no","",""
"eurofins.se","",""
"euromoneyplc.com","",""
"euromonitor.com","",""
"europeanspallationsource.se","",""
"europlan.fi","",""
"eva.dk","",""
"evaluategroup.com","",""
"evaxion-biotech.com","",""
"evidence-base.com","",""
"evolusioninnovation.com","",""
"evolveuk.biz","",""
"evomatic.se","",""
"evosite.co.uk","",""
"ewa.co.uk","",""
"eworkgroup.com","",""
"exceeding.co.uk","",""
"executivecompass.co.uk","",""
"execuzen.com","",""
"exemplas.com","",""
"exengo.se","",""
"exi-group.com","",""
"exigere.co.uk","",""
"expediteps.com","",""
"expedition.uk.com","",""
"expleogroup.com","",""
"exponential-e.com","",""
"exscientia.com","",""
"exsitec.se","",""
"ey.com","",""
"ey.dk","",""
"ey.no","",""
"f2g.com","",""
"f3architects.com","",""
"face-consultants.com","",""
"fafo.no","",""
"famly.co","",""
"fanshawe.co.uk","",""
"farebrother.net","",""
"farrells.com","",""
"farrellymitchell.com","",""
"farsightconsulting.co.uk","",""
"fasthosts.co.uk","",""
"fastmarkets.com","",""
"faulknerbrowns.co.uk","",""
"fbmarchitects.com","",""
"fcbstudios.com","",""
"fcg.fi","",""
"fcs-live.com","",""
"fcs-ltd.com","",""
"fdc.dk","",""
"featurespace.com","",""
"feed.xyz","",""
"fellowmind.com","",""
"fera.co.uk","",""
"fern-plastics.co.uk","",""
"fes-electrical.co.uk","",""
"fgould.com","",""
"fhl.co.uk","",""
"fhpess.com","",""
"fhpp.com","",""
"fichtner.co.uk","",""
"fieldlocker.co.uk","",""
"fifthbusiness.com","",""
"fiftytwo.com","",""
"fimpec.com","",""
"finalta-global.com","",""
"financialsoftware.co.uk","",""
"finch-consulting.com","",""
"fincore.com","",""
"firesafe.no","",""
"firstclarity.com","",""
"firstco.uk.com","",""
"firstderivatives.com","",""
"firsthouse.no","",""
"fiserv.com","",""
"fishergerman.co.uk","",""
"fjdconsulting.co.uk","",""
"fjordland.dk","",""
"fjordnet.com","",""
"flacq.com","",""
"flanaganlawrence.com","",""
"flattconsulting.com","",""
"fletcherpriest.com","",""
"flex.com","",""
"flint-global.com","",""
"flo-group.com","",""
"flynetviewer.com","",""
"fmc.com","",""
"fmoutsource.com","",""
"fnc.co.uk","",""
"fni.no","",""
"fns.fi","",""
"focus-consultants.com","",""
"focus-fm.co.uk","",""
"foi.se","",""
"fojab.se","",""
"footfall.com","",""
"forcetechnology.com","",""
"fordway.com","",""
"foremanroberts.com","",""
"forensicrisk.com","",""
"foreship.com","",""
"foresightfactory.co","",""
"form-sd.com","",""
"formationarchitects.co.uk","",""
"formpipe.com","",""
"forwardthinkinginc.com","",""
"forwessun.net","",""
"fosterandpartners.com","",""
"foxowmby.com","",""
"foxway.com","",""
"fpcr.co.uk","",""
"fraktal.no","",""
"frankshawassociates.co.uk","",""
"frecon.dk","",""
"freeagent.com","",""
"freedomcomms.com","",""
"freeline.life","",""
"frenchduncan.co.uk","",""
"frenger.com","",""
"freshdesigninternational.com","",""
"friis-moltke.dk","",""
"fronter.com","",""
"frontica.com","",""
"frontier-economics.com","",""
"frontiersoftware.com","",""
"frontit.se","",""
"frontline-consultancy.com","",""
"frontwalker.se","",""
"frpadvisory.com","",""
"fulcro.co.uk","",""
"fullsailpartners.com","",""
"furnesspartnership.com","",""
"fusion.co.uk","",""
"futureplc.com","",""
"futuresource-consulting.com","",""
"futurice.fi","",""
"fvbenergy.com","",""
"fwpgroup.co.uk","",""
"g-s.co.uk","",""
"g-w-e.com","",""
"gagamuller.com","",""
"gaia.fi","",""
"gaist.co.uk","",""
"galico.ie","",""
"gardiner.com","",""
"gardline.com","",""
"gardnerstewartarchitects.com","",""
"gateleyvinden.com","",""
"gateone.co.uk","",""
"gatesconsultants.co.uk","",""
"gatun.se","",""
"gb3.co.uk","",""
"gbg.co.uk","",""
"gbgplc.com","",""
"gbmmec.com","",""
"gcc.co.uk","",""
"gcdtech.com","",""
"gcscompliance.co.uk","",""
"gdalyconsulting.com","",""
"geant.net","",""
"geda.co.uk","",""
"geeconglobal.com","",""
"gegpower.is","",""
"gemseek.com","",""
"gemserv.com","",""
"genesis.global","",""
"genesisit.co.uk","",""
"genisys-group.com","",""
"geniussports.com","",""
"genomicsengland.co.uk","",""
"genusplc.com","",""
"geo.dk","",""
"geoeng.co.uk","",""
"geomarine.gg","",""
"geomatikk-ikt.no","",""
"geoplace.co.uk","",""
"geosyn.co.uk","",""
"geotechnics.co.uk","",""
"geovita.no","",""
"geraldedelman.com","",""
"gesl.net","",""
"getadigital.com","",""
"getronics.com","",""
"geusbulletin.org","",""
"gfk.com","",""
"ggpconsult.co.uk","",""
"gilltechnology.com","",""
"gilroy.co.uk","",""
"gkak.se","",""
"gklgroup.co.uk","",""
"gkstrategy.com","",""
"gla.ac.uk","",""
"gladstonemrm.com","",""
"glanagua.ie","",""
"glancynicholls.com","",""
"glanvillegroup.com","",""
"gleaveqs.co.uk","",""
"gleeds.com","",""
"glennhowells.co.uk","",""
"glimma.com","",""
"global-mediator.com","",""
"globalmaritime.com","",""
"globalshares.com","",""
"goamplifi.com","",""
"godwinaustenjohnson.com","",""
"gofore.com","",""
"goinspire.co.uk","",""
"good-governance.org.uk","",""
"goodgrowth.co.uk","",""
"goodmanjones.com","",""
"goodrichllp.com","",""
"goodtech.no","",""
"google.com","",""
"gortscott.com","",""
"gossinteractive.com","",""
"gov.je","",""
"gpadlondonltd.com","",""
"gpp.dk","",""
"graitec.co.uk","",""
"granitor.se","",""
"granlund.fi","",""
"grantthornton.com","",""
"grantthornton.fi","",""
"grape.no","",""
"gravitasrecruitmentgroup.com","",""
"grayce.co.uk","",""
"greatit.se","",""
"greatplacetowork.co.uk","",""
"greenbankgroup.com","",""
"greenblue.com","",""
"greencatrenewables.co.uk","",""
"greengage-env.com","",""
"greenhatch-group.co.uk","",""
"greenstep.fi","",""
"gritera.co.id","",""
"grm-uk.com","",""
"groundlevelservices.co.uk","",""
"groundsure.com","",""
"groundwork.org.uk","",""
"groupams.co.uk","",""
"grouptechedge.com","",""
"gsc-technologies.com","",""
"gssarchitecture.com","",""
"gtk.fi","",""
"gtwgroup.fi","",""
"gubra.dk","",""
"guyhollaway.co.uk","",""
"gxs.com","",""
"gyrocom.co.uk","",""
"gyroscopetx.com","",""
"habberstad.no","",""
"hadenfreeman.com","",""
"haloarchitects.co.uk","",""
"halvarsson.se","",""
"hamsonbarronsmith.com","",""
"hanburystrategy.com","",""
"handd.co.uk","",""
"hanntucker.co.uk","",""
"hapticarchitects.com","",""
"harleyhaddow.com","",""
"harniss.co.uk","",""
"harrisirwin.com","",""
"harrison.hn","",""
"harrisongroupuk.com","",""
"harrispartnership.com","",""
"harrisx.com","",""
"harwell-management.com","",""
"hatch-europe.com","",""
"hawkeyeinnovations.com","",""
"hawkinsbrown.com","",""
"haworthtompkins.com","",""
"hawthornadvisors.com","",""
"hayesdavidson.com","",""
"hayne.co","",""
"haysmacintyre.com","",""
"hazlewoods.co.uk","",""
"hberm.com","",""
"hblassociates.co.uk","",""
"hbpw.co.uk","",""
"hc-qs.com","",""
"hcd.co.uk","",""
"hcel.co.uk","",""
"hcl.com","",""
"hcltech.com","",""
"hdg.co.uk","",""
"hdl.fi","",""
"hdruk.ac.uk","",""
"headenergy.no","",""
"headlandconsultancy.com","",""
"healx.io","",""
"heaneys.co.uk","",""
"heatherwick.com","",""
"hededanmark.dk","",""
"helamaaheiskanen.fi","",""
"helical-technology.com","",""
"helyx.co.uk","",""
"hemsleyfraser.co.uk","",""
"henry-jensen.dk","",""
"henryriley.com","",""
"hepacon.fi","",""
"hesehus.com","",""
"hexaware.com","",""
"heynetillettsteel.com","",""
"hgp-architects.co.uk","",""
"hha.no","",""
"hhp.ie","",""
"hickton.co.uk","",""
"hifab.se","",""
"highlanderuk.com","",""
"highview-power.com","",""
"hillierhopkins.co.uk","",""
"hilsonmoran.com","",""
"himumsaiddad.com","",""
"hippodigital.co.uk","",""
"hiq.se","",""
"hitachiconsulting.com","",""
"hjlyons.com","",""
"hksinc.com","",""
"hkstrategies.com","",""
"hlca.co.uk","",""
"hlm.as","",""
"hlngroup.co.uk","",""
"hmark.no","",""
"hmrlondon.com","",""
"hmvengineering.com","",""
"hnw.co.uk","",""
"hofstede-insights.com","",""
"hoistgroup.com","",""
"holdermathias.com","",""
"hollandgreen.co.uk","",""
"holschernordberg.dk","",""
"holteconsulting.no","",""
"homanobrien.ie","",""
"hop.uk.com","",""
"hopkins.co.uk","",""
"houlderltd.com","",""
"houston-inc.com","",""
"howarthlitchfield.co.uk","",""
"hplus.dk","",""
"hrprosjekt.no","",""
"hso.co.uk","",""
"hspconsulting.com","",""
"hssmi.org","",""
"htc.uk.com","",""
"htcarchitects.co.uk","",""
"htk.co.uk","",""
"hts.uk.com","",""
"hulley.co.uk","",""
"humanhouse.com","",""
"humanrights.dk","",""
"hunter-design.co.uk","",""
"hunters.co.uk","",""
"huntonengineering.co.uk","",""
"huntswood.com","",""
"huronconsultinggroup.com","",""
"hurst.co.uk","",""
"husark.no","",""
"hutton.ac.uk","",""
"hwca.com","",""
"hwmartin.com","",""
"hyphen.archi","",""
"i-nexus.com","",""
"i-transport.co.uk","",""
"i3tex.com","",""
"iac.ie","",""
"ianfarmer.co.uk","",""
"iar.com","",""
"iba.aero","",""
"ibd-uk.com","",""
"ibdg.co.uk","",""
"ibforma.com","",""
"ibsecad.net","",""
"ica.studio","",""
"iceict.net","",""
"iceniprojects.com","",""
"ices.dk","",""
"iceye.fi","",""
"icis.com","",""
"icomm.co.uk","",""
"icr.ac.uk","",""
"ideal.co.uk","",""
"ideastructura.com","",""
"idectech.com","",""
"idegroup.com","",""
"identityconsult.co.uk","",""
"idoxplc.com","",""
"idpartnership.com","",""
"ids.ac.uk","",""
"idx.inc","",""
"iesis.net","",""
"iesisgroup.com","",""
"iesve.com","",""
"ife.no","",""
"iff.dk","",""
"iffs.se","",""
"igd.com","",""
"ignata.com","",""
"igroup.co.uk","",""
"ihbrown.com","",""
"ihsmarkit.com","",""
"iied.org","",""
"iipuk.co.uk","",""
"iiss.org","",""
"ikg.se","",""
"ikonscience.com","",""
"imesint.co.uk","",""
"iml-uk.com","",""
"immeo.dk","",""
"immunocore.com","",""
"imotions.com","",""
"imperial.co.uk","",""
"imperialinnovations.co.uk","",""
"impetusautomotive.com","",""
"ims-evolve.com","",""
"imsm.com","",""
"incite.ws","",""
"incontext.se","",""
"increo.no","",""
"incubeta.com","",""
"industryforum.co.uk","",""
"inenco.com","",""
"inera.se","",""
"infare.com","",""
"infinitegroup.co.uk","",""
"infinium.co.uk","",""
"inflite-engineering.co.uk","",""
"infoaxon.com","",""
"informa.com","",""
"informed.com","",""
"infotiv.se","",""
"infrata.com","",""
"ingenia.no","",""
"ingenior-ne.dk","",""
"ingenta.com","",""
"ingletonwood.co.uk","",""
"inhousetech.se","",""
"inisenvironmentalservices.com","",""
"innercircleconsulting.co.uk","",""
"innocode.no","",""
"innofactor.com","",""
"innolink.fi","",""
"innovation-group.com","",""
"innovationunit.org","",""
"innovayt.eu","",""
"innoviatech.com","",""
"innovify.com","",""
"inoapps.com","",""
"inprovagroup.com","",""
"insidetwocircles.com","",""
"insights.com","",""
"insource.co.uk","",""
"inspari.dk","",""
"inspecsolutions.co.uk","",""
"inspirationaldevelopment.com","",""
"instituteforgovernment.org.uk","",""
"institutsuedois.fr","",""
"intaforensics.com","",""
"intechnologyplc.com","",""
"integrationuk.com","",""
"integrella.com","",""
"integrity-software.net","",""
"intelogy.co.uk","",""
"intenthq.com","",""
"interceptip.com","",""
"intersystems.com","",""
"intertek.com","",""
"inuit.dk","",""
"invarsystems.com","",""
"invenio-solutions.com","",""
"inventura.no","",""
"inventya.com","",""
"invivocorp.com","",""
"invixo.com","",""
"iobiotech.com","",""
"iom-world.org","",""
"iomart.com","",""
"ip-performance.co.uk","",""
"ip-solutions.se","",""
"ippr.org","",""
"ipsos-mori.com","",""
"ipsos.com","",""
"ircp.com","",""
"iresearchservices.com","",""
"iresreit.ie","",""
"iriworldwide.com","",""
"irmplc.com","",""
"ironsidefarrar.com","",""
"isc-software.com","",""
"isc.dk","",""
"ischebeck-titan.co.uk","",""
"isdp.eu","",""
"isio.com","",""
"isis-innovation.com","",""
"isis-papyrus.com","",""
"isobar.com","",""
"isode.com","",""
"isor.is","",""
"isotrak.com","",""
"isssolutions.com","",""
"istekki.fi","",""
"it-huset.se","",""
"it2tms.com","",""
"italliancegroup.com","",""
"itcraft.com.ua","",""
"itcsecure.com","",""
"iterate.no","",""
"itgovernance.co.uk","",""
"itlab.com","",""
"itm.uk.com","",""
"itpenergised.com","",""
"itrm.co.uk","",""
"itrsgroup.com","",""
"itslearning.co.uk","",""
"ivanti.com","",""
"ivl.se","",""
"iwa.fi","",""
"jadu.co.uk","",""
"jamescowperkreston.co.uk","",""
"jamescubitt.com","",""
"jamesharvard.com","",""
"jandaengineering.co.uk","",""
"janinestone.com","",""
"jba-bentley.co.uk","",""
"jbaconsulting.com","",""
"jcba.co.uk","",""
"jcp.no","",""
"jdxconsulting.com","",""
"je.logicalis.com","",""
"jee.co.uk","",""
"jeffersonsheard.co.uk","",""
"jenner.ac.uk","",""
"jesticowhiles.com","",""
"jfa.ie","",""
"jfdglobal.com","",""
"jfnl.co.uk","",""
"jgafire.com","",""
"jic.ac.uk","",""
"jisc.ac.uk","",""
"jjw.dk","",""
"jkmm.fi","",""
"jktech.com","",""
"jlesgroup.com","",""
"jmarchitects.net","",""
"jmp.co.uk","",""
"jmsengineers.co.uk","",""
"jndata.dk","",""
"jnpgroup.co.uk","",""
"jocowenarchitects.com","",""
"jodireland.com","",""
"joinzoe.com","",""
"joskos.com","",""
"joule-group.com","",""
"jpg.group","",""
"jra.co.uk","",""
"jrf.org.uk","",""
"jri.co.jp","",""
"jrp.co.uk","",""
"jsmgroup.com","",""
"jsoftsolution.co.uk","",""
"jtp.co.uk","",""
"jubb.uk.com","",""
"jumar-solutions.com","",""
"jvtierney.ie","",""
"jympartnership.co.uk","",""
"k3btg.com","",""
"k3capitalgroupplc.com","",""
"k3fds.com","",""
"kaastrup-andersen.com","",""
"kainos.com","",""
"kallik.com","",""
"kaminsky.se","",""
"kampcl.com","",""
"kanozi.se","",""
"kantega.no","",""
"karakusevic-carson.com","",""
"karavanlandskap.se","",""
"karnovgroup.com","",""
"kashec.com","",""
"kbassociates.ie","",""
"kbscorporate.com","",""
"kcl.ac.uk","",""
"kelway.com","",""
"kendallkingscott.co.uk","",""
"keningtons.com","",""
"kensingtontaylor.com","",""
"kentstainless.com","",""
"keswickenterprises.com","",""
"kettle.co","",""
"keybroker.se","",""
"keycomputers.co.uk","",""
"keyforensic.co.uk","",""
"keyplants.com","",""
"kgalglobal.com","",""
"kgm.se","",""
"khe.co.uk","",""
"khr.dk","",""
"kiadesigns.co.uk","",""
"kilmac.co.uk","",""
"kinneygreen.com","",""
"kinspeed.com","",""
"kirona.com","",""
"kits.se","",""
"kjtait.com","",""
"kka.ltd.uk","",""
"klaraconsulting.se","",""
"klifo.com","",""
"kmctransport.co.uk","",""
"knightarchitects.co.uk","",""
"knowit.se","",""
"knudehansen.com","",""
"kombit.dk","",""
"kompetencekanalen.dk","",""
"konstantinfo.com","",""
"korecgroup.com","",""
"kovsted.dk","",""
"kpaunicon.com","",""
"kpf.com","",""
"kph.ie","",""
"kpmg.dk","",""
"kpmg.fi","",""
"kraftvaerk.com","",""
"krestonreeves.com","",""
"krome.co.uk","",""
"krook.tjader.se","",""
"krouse.co.uk","",""
"kroyerpedersen.dk","",""
"kruso.dk","",""
"ksn.ie","",""
"kssgroup.com","",""
"ktc.se","",""
"ktn-uk.co.uk","",""
"kuatro-group.com","",""
"kudosresearch.com","",""
"kupa.no","",""
"kvadrat.se","",""
"kymab.com","",""
"labcorp.com","",""
"lacepartners.co.uk","",""
"lafferty.ie","",""
"land-water.co.uk","",""
"landbonord.dk","",""
"landbosyd.dk","",""
"landell-mills.com","",""
"landmarkspace.co.uk","",""
"landskapslaget.se","",""
"lane4performance.com","",""
"lanmark.com","",""
"lantec.eu.com","",""
"larkaslaine.com","",""
"larking-gowen.co.uk","",""
"lasersurveys.co.uk","",""
"laurimehto.fi","",""
"lawlerconsulting.com","",""
"lawray-architects.co.uk","",""
"lba.london","",""
"lboro.ac.uk","",""
"lbresearch.com","",""
"lclark.com","",""
"lcp.uk.com","",""
"lcpdelta.com","",""
"ldavies.com","",""
"ldn.co.uk","",""
"ldra.com","",""
"lds-uk.com","",""
"le34.dk","",""
"leadership.org.uk","",""
"leadingresolutions.com","",""
"lee-evans.co.uk","",""
"legal500.com","",""
"lek.com","",""
"lendager.com","",""
"leonarddesignarchitects.com","",""
"lesliejones.co.uk","",""
"lewishickey.com","",""
"leyton.com","",""
"lhasalimited.org","",""
"lhc.net","",""
"lhlgroup.co.uk","",""
"liberata.com","",""
"libraeurope.com","",""
"lic-ab.se","",""
"lifearc.org","",""
"lifeenvironmental.co.uk","",""
"liljewall.se","",""
"lima.co.uk","",""
"lincor.com","",""
"linja-arkkitehdit.fi","",""
"linkfresh.com","",""
"linkmedical.eu","",""
"linney.com","",""
"livemore.co.uk","",""
"lma.fi","",""
"lmc.co.uk","",""
"lntinfotech.com","",""
"locala.org.uk","",""
"locogen.com","",""
"logikalplan.com","",""
"logiq.no","",""
"logiqconsulting.co.uk","",""
"lom-architecture.com","",""
"londonbuildingcontrol.co.uk","",""
"londoneconomics.co.uk","",""
"londonmedicallaboratory.co.uk","",""
"long-odonnell.com","",""
"longitude.co.uk","",""
"loopme.com","",""
"lorienengineering.com","",""
"lotusworks.com","",""
"lovewell-blake.co.uk","",""
"loxiagroup.se","",""
"loyaltyplant.com","",""
"lparchaeology.com","",""
"lpo.no","",""
"lr-revision.se","",""
"lrp.dk","",""
"lrs.dk","",""
"lrw.co.uk","",""
"lsa.no","",""
"lscp.com","",""
"lsharch.co.uk","",""
"lspgrd.dk","",""
"lstc.co.uk","",""
"lstmliverpool.ac.uk","",""
"ltarkitekter.dk","",""
"ltshealth.com","",""
"lubbockfine.co.uk","",""
"luciongroup.com","",""
"luckingandclark.co.uk","",""
"luke.fi","",""
"lukkaroinen.fi","",""
"lundhagem.no","",""
"lyngkilde.dk","",""
"lynxnetworks.co.uk","",""
"lytt.dk","",""
"m-hance.com","",""
"m3.com","",""
"m3c.co.uk","",""
"maanmittauslaitos.fi","",""
