Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Company,Category,Topic,ML Insights Score
L.E.K. Consulting(lek.com),it management,saas operations management,62
L.E.K. Consulting(lek.com),contracts,engineering procurement and construction (epc),89
L.E.K. Consulting(lek.com),enterprise,enterprise architecture,78
L.E.K. Consulting(lek.com),analytics & reporting,business intelligence,76
Labcorp(labcorp.com),business finance,financial management services,62
Labcorp(labcorp.com),it management,saas operations management,90
Labcorp(labcorp.com),business solutions,project management software,93
Liljewall(liljewall.se),"budgeting, planning & strategy",financial management,93
Lti - Larsen & Toubro Infotech(lntinfotech.com),translation & language,localization project management,62
Lti - Larsen & Toubro Infotech(lntinfotech.com),other,erp vendors,65
Lti - Larsen & Toubro Infotech(lntinfotech.com),it management,saas operations management,90
Macmillan Cancer Support(macmillan.org.uk),it management,saas operations management,68
Made Tech(madetech.com),cloud,enterprise cloud,87
Mayer Brown Ltd(mayerbrown.co.uk),it management,saas operations management,90
Maynooth University(maynoothuniversity.ie),"budgeting, planning & strategy",financial management,82
Maynooth University(maynoothuniversity.ie),it management,saas operations management,82
Mckinsey & Company(mckinsey.com),other,construction erp,71
Mckinsey & Company(mckinsey.com),it management,saas operations management,78
Mckinsey & Company(mckinsey.com),analytics & reporting,embedded business intelligence,76
Mckinsey & Company(mckinsey.com),"budgeting, planning & strategy",lean project management,91
Me Engineers(me-engineers.com),cloud,cloud erp,73
Mediacom(mediacom.com),product development & qa,project collaboration,62
Meidän It Ja Talous Oy(meita.fi),cloud,enterprise cloud,87
Mergermarket(mergermarket.com),contracts,engineering procurement and construction (epc),78
Mergermarket(mergermarket.com),product development & qa,project collaboration,85
Mergermarket(mergermarket.com),cloud,enterprise cloud,62
Milltown Partners(milltownpartners.com),business solutions,software as a service (saas),95
Milltown Partners(milltownpartners.com),cloud,cloud architect,73
Milltown Partners(milltownpartners.com),analytics & reporting,embedded business intelligence,76
Mintel(mintel.com),"budgeting, planning & strategy",lean project management,68
Mott Macdonald(mottmac.com),operations,erp transformation,78
Mott Macdonald(mottmac.com),business finance,financial management services,73
Mott Macdonald(mottmac.com),"budgeting, planning & strategy",project delivery method,94
Mott Macdonald(mottmac.com),it management,saas operations management,94
Mott Macdonald(mottmac.com),contracts,engineering procurement and construction (epc),73
Mti(mti.com),cloud,enterprise cloud,96
Mti(mti.com),it management,saas operations management,97
Mti(mti.com),it management,on-premise applications,73
Munster Technological University(cit.ie),it management,saas operations management,100
Ness Digital Engineering(ness.com),it management,saas operations management,84
Ness Digital Engineering(ness.com),it management,technology design & architecture,78
Ness Digital Engineering(ness.com),cloud,enterprise cloud,93
Ness Digital Engineering(ness.com),it management,on-premise applications,76
Net Support Uk Ltd(nsuk.com),contracts,engineering procurement and construction (epc),89
Net Support Uk Ltd(nsuk.com),product development & qa,project management,80
Netcompany(netcompany.com),it management,saas operations management,94
Netnordic Denmark(netnordic.com),cloud,enterprise cloud,62
Nielsen(nielsen.com),performance,performance measurement,87
Nielsen(nielsen.com),business solutions,project management software,62
Nielsen(nielsen.com),supply chain,distribution erp software,85
Nielsen(nielsen.com),it management,saas operations management,91
Niit Technologies Limited(niit-tech.com),product development & qa,adaptive project management and reporting,76
North Highland(northhighland.com),it management,saas operations management,89
North Highland(northhighland.com),operations,erp transformation,82
Nsc Global(nscglobal.com),it management,saas operations management,80
Nsc Global(nscglobal.com),cloud,enterprise cloud,73
O'connor Sutton Cronin(ocsc.ie),cloud,enterprise cloud,98
Oliver Wyman(oliverwyman.com),business finance,financial management services,93
Oliver Wyman(oliverwyman.com),cloud,enterprise cloud,62
Oliver Wyman(oliverwyman.com),it management,saas operations management,84
Opentext(opentext.com),business solutions,saas management platform (smp),84
Opentext(opentext.com),performance,performance management,62
Opentext(opentext.com),supply chain,distribution erp software,62
Opentext(opentext.com),cloud,cloud erp,71
Opentext(opentext.com),business finance,project finance,68
Opentext(opentext.com),performance,performance measurement,94
Opentext(opentext.com),translation & language,localization project management,100
Opentext(opentext.com),contracts,engineering procurement and construction (epc),62
Opentext(opentext.com),it management,saas operations management,89
Orc Exnet(orcsoftware.com),cloud,enterprise cloud,93
Orc Exnet(orcsoftware.com),operations,erp transformation,84
Oxford Economics(oxfordeconomics.com),cloud,enterprise cloud,78
Oxford Pharmagenesis(pharmagenesis.com),cloud,enterprise cloud,62
Parexel(parexel.com),"budgeting, planning & strategy",project delivery method,73
Parexel(parexel.com),business solutions,saas management platform (smp),96
Parexel(parexel.com),it management,saas operations management,94
Parexel(parexel.com),performance,performance measurement,99
Parexel(parexel.com),product development & qa,project management,85
Parsons Brinckerhoff In The Usa (Now Wsp Usa)(pbworld.com),it management,technology design & architecture,68
Parsons Brinckerhoff In The Usa (Now Wsp Usa)(pbworld.com),it management,saas operations management,80
Performance Consultants International(performanceconsultants.com),it management,saas operations management,93
Pgs(pgs.com),it management,saas operations management,65
Phd(phdmedia.com),product development & qa,project management,73
Phd(phdmedia.com),it management,saas operations management,87
Pick Everard(pickeverard.co.uk),it management,saas operations management,73
Polygon Group(polygongroup.com),other,erp vendors,68
Polygon Group(polygongroup.com),it management,saas operations management,73
Ppd(ppd.com),business finance,financial management services,65
Ppd(ppd.com),cloud,cloud architect,80
Ppd(ppd.com),it management,saas operations management,73
Ppl(pplconsulting.co.uk),it management,saas operations management,82
Ppl(pplconsulting.co.uk),cloud,cloud architect,65
Ppl(pplconsulting.co.uk),product development & qa,project collaboration,84
Prgx Global Inc.(prgx.com),it management,saas operations management,85
Prgx Global Inc.(prgx.com),operations,erp transformation,84
Proudfoot(proudfoot.com),it management,saas operations management,68
Publicis Groupe(publicisgroupe.com),product development & qa,project management,65
Publicis Groupe(publicisgroupe.com),product development & qa,project collaboration,62
Publicis Sapient(publicissapient.com),contracts,engineering procurement and construction (epc),73
Publicis Sapient(publicissapient.com),cloud,enterprise cloud,93
Publicis Sapient(publicissapient.com),translation & language,localization project management,68
Publicis Sapient(publicissapient.com),it management,saas operations management,73
Pwc(pwc.com),technology,unit4,97
Pwc(pwc.com),training & development,resource management,100
Pwc(pwc.com),business finance,financial management services,82
Pwc(pwc.com),business solutions,project management software,78
Pwc(pwc.com),"budgeting, planning & strategy",resource allocation,73
Pwc(pwc.com),it management,saas operations management,98
Qualitest(qualitestgroup.com),it management,saas operations management,99
Qualitest(qualitestgroup.com),operations,erp transformation,65
Redcompass(redcompass.com),it management,saas operations management,80
Redcompass(redcompass.com),cloud,enterprise cloud,73
Rgp(rgp.com),it management,saas operations management,82
Rise Research Institutes Of Sweden(ri.se),product development & qa,adaptive project management and reporting,89
Rothamsted Research(rothamsted.ac.uk),"budgeting, planning & strategy",resource tracking,87
Rothamsted Research(rothamsted.ac.uk),it management,saas operations management,62
Rps(rpsgroup.com),cloud,enterprise cloud,62
Rsm Uk(rsmuk.com),cloud,enterprise cloud,62
Rws Group(rws.com),it management,saas operations management,95
Rws Group(rws.com),other,erp vendors,95
Rystad Energy(rystadenergy.com),cloud,enterprise cloud,90
S360 A/S(s360digital.com),it management,saas operations management,65
Scc(scc.com),product development & qa,project management,68
Scc(scc.com),business finance,financial management services,91
Scc(scc.com),"budgeting, planning & strategy",financial management,71
Scc(scc.com),it management,saas operations management,89
Scc(scc.com),product development & qa,project collaboration,68
Schawk!(schawk.com),it management,saas operations management,85
Scott White And Hookins(swh.co.uk),it management,saas operations management,94
Sdc(sdc.dk),cloud,enterprise cloud,68
"Se2, Llc(se2.com)",supply chain,distribution erp software,94
Seavus(seavus.com),cloud,enterprise cloud,84
Sectra(sectra.com),cloud,enterprise cloud,65
Semco Maritime(semcomaritime.com),cloud,enterprise cloud,96
Serco(serco.com),business finance,project finance,80
Serco(serco.com),it management,on-premise applications,98
Serco(serco.com),it management,saas operations management,94
Sgs(sgs.com),cloud,enterprise cloud,71
Sgs(sgs.com),business solutions,project management software,89
Sgs(sgs.com),it management,saas operations management,94
Shh Architecture & Interiors(shh.co.uk),operations,erp transformation,84
Sida(sida.se),"budgeting, planning & strategy",resource tracking,78
Sinch(sinch.com),it management,saas operations management,95
Sinch(sinch.com),business finance,project finance,62
Six Degrees(6dg.co.uk),it management,technology design & architecture,85
Six Degrees(6dg.co.uk),it management,saas operations management,93
"Skidmore, Owings & Merrill (Som)(som.com)",product development & qa,project collaboration,68
"Skidmore, Owings & Merrill (Som)(som.com)",operations,erp transformation,62
"Skidmore, Owings & Merrill (Som)(som.com)",it management,saas operations management,73
"Skidmore, Owings & Merrill (Som)(som.com)","budgeting, planning & strategy",financial management,73
Slr Consulting(slrconsulting.com),"budgeting, planning & strategy",financial management,84
Slr Consulting(slrconsulting.com),it management,saas operations management,62
Snc-Lavalin(snclavalin.com),cloud,enterprise cloud,73
Snøhetta(snohetta.com),it management,saas operations management,65
Snøhetta(snohetta.com),operations,erp transformation,85
Softronic(softronic.se),cloud,enterprise cloud,62
Softronic(softronic.se),it management,saas operations management,90
Sogeti(sogeti.com),business finance,financial management services,85
Sogeti(sogeti.com),product development & qa,adaptive project management and reporting,76
Sol-Tec Limited(sol-tec.com),operations,erp transformation,82
Solita(solita.fi),analytics & reporting,business intelligence platform,65
Solteq Plc(solteq.com),it management,saas operations management,73
Sopra Steria(soprasteria.com),business finance,project finance,84
Sopra Steria(soprasteria.com),contracts,engineering procurement and construction (epc),76
Sopra Steria(soprasteria.com),"budgeting, planning & strategy",resource allocation,71
Spie(spie.com),business finance,financial management services,90
Spie(spie.com),operations,erp transformation,73
Springer Nature(springernature.com),business solutions,saas management platform (smp),78
Springer Nature(springernature.com),cloud,enterprise cloud,93
Ss&C Technologies(ssctech.com),contracts,engineering procurement and construction (epc),85
Ss&C Technologies(ssctech.com),it management,saas operations management,62
Ss&C Technologies(ssctech.com),"budgeting, planning & strategy",resource allocation,65
Ss&C Technologies(ssctech.com),performance,performance measurement,91
Ss&C Technologies(ssctech.com),business finance,financial management services,71
Sta Travel(statravel.com),it management,saas operations management,73
Stantec(stantec.com),business finance,financial management services,87
Stantec(stantec.com),other,construction erp,84
Stantec(stantec.com),it management,saas operations management,89
Stantec(stantec.com),business solutions,software as a service (saas),99
Stantec(stantec.com),product development & qa,adaptive project management and reporting,90
Stantec(stantec.com),business solutions,project management software,85
Stantec(stantec.com),"budgeting, planning & strategy",project delivery method,73
Stefanini Group(stefanini.com),it management,saas operations management,94
Stefanini Group(stefanini.com),cloud,cloud erp,82
Stefanini Group(stefanini.com),supply chain,distribution erp software,95
Stefanini Group(stefanini.com),it management,on-premise applications,98
Stfc(ukri.org),contracts,engineering procurement and construction (epc),98
Stfc(ukri.org),cloud,enterprise cloud,62
Stfc(ukri.org),it management,saas operations management,87
Sumo Services(sumoservices.com),it management,saas operations management,78
Sungard Availability Services(sungardas.com),cloud,enterprise cloud,95
Sungard Availability Services(sungardas.com),it management,saas operations management,91
Sungard Availability Services(sungardas.com),enterprise,erp implementation,90
Sungard Availability Services(sungardas.com),it management,technology design & architecture,98
Sungard Availability Services(sungardas.com),"budgeting, planning & strategy",resource allocation,76
Sungard Availability Services(sungardas.com),contracts,engineering procurement and construction (epc),62
Tata Group(tata.com),it management,saas operations management,96
Td Synnex North America(techdata.com),it management,saas operations management,84
Technipfmc(technip.com),it management,saas operations management,80
Technipfmc(technip.com),product development & qa,adaptive project management and reporting,71
Technipfmc(technip.com),performance,performance measurement,68
Technipfmc(technip.com),"budgeting, planning & strategy",resource allocation,89
Teneo(teneo.com),operations,erp transformation,68
Teneo(teneo.com),cloud,enterprise cloud,80
Teneo(teneo.com),it management,saas operations management,71
Terex Corporation(terex.com),cloud,enterprise cloud,78
Terex Corporation(terex.com),business finance,financial management services,68
Terex Corporation(terex.com),it management,on-premise applications,95
Terex Corporation(terex.com),it management,saas operations management,98
Terex Corporation(terex.com),"budgeting, planning & strategy",project delivery method,91
Tetra Tech(tetratech.com),enterprise,enterprise architecture,65
Tetra Tech(tetratech.com),supply chain,distribution erp software,89
Tetra Tech(tetratech.com),software engineering,performance engineering,93
Tetra Tech(tetratech.com),it management,saas operations management,100
Tetra Tech(tetratech.com),business solutions,project management software,96
The Hackett Group Inc.(thehackettgroup.com),it management,saas operations management,73
The Hackett Group Inc.(thehackettgroup.com),performance,performance management,82
The James Hutton Institute(hutton.ac.uk),it management,saas operations management,65
"The Japan Research Institute, Limited(jri.co.jp)",enterprise,enterprise architecture,94
The Prince's Trust(princes-trust.org.uk),cloud,enterprise cloud,65
The Smart Cube(thesmartcube.com),cloud,enterprise cloud,65
Thinc | Award-Winning Sage And Sap Business One Partner And Msp(wearethinc.com),cloud,enterprise cloud,65
"Thomas Consulting Ltd, Structural & Civil Design Engineers(thomasconsulting.co.uk)",it management,saas operations management,87
Thoughtworks(thoughtworks.com),it management,saas operations management,76
Thoughtworks(thoughtworks.com),business finance,project finance,98
Thoughtworks(thoughtworks.com),cloud,enterprise cloud,94
Thoughtworks(thoughtworks.com),it management,technology design & architecture,82
Tietoevry(tietoevry.com),cloud,enterprise cloud,87
Tietoevry(tietoevry.com),performance,performance management,93
Tietoevry(tietoevry.com),product development & qa,project management,87
Tilburg University(tilburguniversity.edu),operations,erp transformation,68
Tno(tno.nl),it management,on-premise applications,95
Tobii Dynavox®(tobiidynavox.com),it management,saas operations management,91
Total Computer Networks - A Boxxe Group Company(totalcomputers.co.uk),cloud,enterprise cloud,87
Trainline(thetrainline.com),it management,saas operations management,97
Trainline(thetrainline.com),cloud,enterprise cloud,71
Transmission(transmissionagency.com),product development & qa,adaptive project management and reporting,82
Transmission(transmissionagency.com),"budgeting, planning & strategy",resource tracking,71
Transmission(transmissionagency.com),analytics & reporting,business intelligence,95
Tribal Group(tribalgroup.com),it management,saas operations management,80
Trimble Inc.(trimble.com),training & development,resource management,91
Trimble Inc.(trimble.com),contracts,engineering procurement and construction (epc),90
Trimble Inc.(trimble.com),performance,performance management,90
Trimble Inc.(trimble.com),other,construction erp,73
Trimble Inc.(trimble.com),"budgeting, planning & strategy",financial management,73
Trimble Inc.(trimble.com),it management,saas operations management,71
Trimble Viewpoint(viewpoint.com),"budgeting, planning & strategy",resource tracking,78
Trinity College Dublin(tcd.ie),product development & qa,adaptive project management and reporting,89
Trinity College Dublin(tcd.ie),business finance,financial management services,68
Trinity College Dublin(tcd.ie),it management,saas operations management,80
Trinity College Dublin(tcd.ie),product development & qa,project collaboration,71
Trustmarque(trustmarque.com),cloud,enterprise cloud,76
"Trustwave, A Levelblue Company(trustwave.com)",it management,saas operations management,80
"Trustwave, A Levelblue Company(trustwave.com)",other,erp vendors,87
"Trustwave, A Levelblue Company(trustwave.com)",contracts,engineering procurement and construction (epc),71
"Trustwave, A Levelblue Company(trustwave.com)",business finance,project finance,99
"Trustwave, A Levelblue Company(trustwave.com)",operations,erp transformation,97
Tsg(tsg.com),cloud,enterprise cloud,71
Turner & Townsend(turnerandtownsend.com),it management,saas operations management,78
Turner & Townsend(turnerandtownsend.com),it management,technology design & architecture,76
Twi(twi-global.com),cloud,enterprise cloud,62
Tyréns Ab(tyrens.se),cloud,enterprise cloud,65
Tüv Süd(tuvsud.com),it management,saas operations management,62
Uantwerpen(uantwerpen.be),it management,saas operations management,90
United Federation Of Teachers(uft.org),it management,saas operations management,82
University College Cork(ucc.ie),it management,saas operations management,94
University Of Amsterdam(uva.nl),it management,on-premise applications,71
University Of Amsterdam(uva.nl),translation & language,localization project management,91
University Of Amsterdam(uva.nl),product development & qa,adaptive project management and reporting,91
University Of Amsterdam(uva.nl),product development & qa,project management,80
University Of Amsterdam(uva.nl),"budgeting, planning & strategy",resource tracking,73
University Of Exeter(exeter.ac.uk),it management,saas operations management,82
University Of Limerick(ul.ie),operations,erp transformation,87
University Of Limerick(ul.ie),it management,saas operations management,98
Valtech(valtech.com),it management,saas operations management,80
Veeda Lifesciences(veedacr.com),it management,technology design & architecture,76
Version 1(version1.com),product development & qa,adaptive project management and reporting,62
Vertex Pharmaceuticals(vrtx.com),it management,on-premise applications,62
Vertex Pharmaceuticals(vrtx.com),"budgeting, planning & strategy",project delivery method,90
Vertex Pharmaceuticals(vrtx.com),it management,saas operations management,94
Vertex Pharmaceuticals(vrtx.com),"budgeting, planning & strategy",resource allocation,73
Vistra(vistra.com),business finance,financial management services,93
Vistra(vistra.com),it management,saas operations management,82
Vistra(vistra.com),cloud,enterprise cloud,87
Watg And Wimberly Interiors(watg.com),it management,saas operations management,96
Weatherford(weatherford.com),business solutions,project management software,68
Weatherford(weatherford.com),it management,saas operations management,85
Weatherford(weatherford.com),translation & language,localization project management,65
Weatherford(weatherford.com),performance,performance management,95
Weatherford(weatherford.com),software engineering,performance engineering,71
Wellcome Sanger Institute(sanger.ac.uk),it management,saas operations management,78
Wellcome Sanger Institute(sanger.ac.uk),product development & qa,project collaboration,65
White & Case Llp(whitecase.com),business solutions,software as a service (saas),76
White & Case Llp(whitecase.com),"budgeting, planning & strategy",financial management,62
White & Case Llp(whitecase.com),it management,saas operations management,85
White & Case Llp(whitecase.com),software engineering,performance engineering,99
White & Case Llp(whitecase.com),contracts,engineering procurement and construction (epc),73
White & Case Llp(whitecase.com),business finance,financial management services,89
Williams Lea(williamslea.com),business finance,financial management services,98
Williams Lea(williamslea.com),"budgeting, planning & strategy",financial management,78
Williams Lea(williamslea.com),it management,saas operations management,80
Wipro(wipro.com),performance,performance management,68
Wipro(wipro.com),performance,performance measurement,80
Wipro(wipro.com),operations,erp transformation,87
Wipro(wipro.com),it management,saas operations management,80
Wood Mackenzie(woodmac.com),it management,saas operations management,96
Wood Mackenzie(woodmac.com),it management,technology design & architecture,96
Wood(woodplc.com),it management,saas operations management,78
Wood(woodplc.com),cloud,enterprise cloud,73
Wood(woodplc.com),supply chain,distribution erp software,68
Wood(woodplc.com),performance,performance measurement,95
Worldwide Business Research (Wbr)(wbresearch.com),it management,saas operations management,98
Worldwide Clinical Trials(worldwide.com),it management,saas operations management,65
Worley(worleyparsons.com),business solutions,saas management platform (smp),85
Worley(worleyparsons.com),it management,saas operations management,90
Wsp In India(wspgroup.com),product development & qa,adaptive project management and reporting,62
Wsp In India(wspgroup.com),it management,saas operations management,87
Wsp In India(wspgroup.com),"budgeting, planning & strategy",project delivery method,68
Wsp In India(wspgroup.com),it management,on-premise applications,62
Wsp(wsp.com),"budgeting, planning & strategy",project delivery method,71
Wsp(wsp.com),"budgeting, planning & strategy",enterprise resource planning (erp),71
Wsp(wsp.com),cloud,enterprise cloud,82
Wsp(wsp.com),it management,saas operations management,71
Xeinadin(xeinadin.com),it management,technology design & architecture,73
Xeinadin(xeinadin.com),it management,saas operations management,82
Zensar Technologies(zensar.com),performance,performance management,82
Zyte(zyte.com),cloud,enterprise cloud,89
bre(bre.co.uk),cloud,enterprise cloud,100
clinisys(clinisys.co.uk),it management,saas operations management,96
pmc retail(pmcretail.com),it management,technology design & architecture,73
